Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z
524,4.358,-704.8028,364.61011,824.05731
525,4.367,-706.80457,364.83099,823.16351
526,4.375,-711.78339,366.29391,822.71051
527,4.383,-716.78156,366.77911,821.77917
528,4.392,-721.56287,367.99915,820.86932
529,4.4,-724.51233,368.20853,820.15692
530,4.408,-729.04828,369.46045,819.40552
531,4.417,-733.75049,370.08618,818.52576
532,4.425,-738.8974,370.98611,817.63641
533,4.433,-743.86047,372.04669,816.03821
534,4.442,-749.13367,373.8811,815.75983
535,4.45,-754.42126,374.93872,814.89429
536,4.458,-759.2229,374.89612,813.7168
537,4.467,-765.15857,376.70908,812.04218
538,4.475,-768.80188,377.09354,811.37549
539,4.483,-773.80975,378.90494,810.28589
540,4.492,-781.54132,379.85568,809.76569
541,4.5,-785.3429,381.58105,806.81384
542,4.508,-789.90503,382.69009,806.24353
543,4.517,-795.46912,383.10745,805.02686
544,4.525,-801.12372,385.01715,803.9165
545,4.533,-807.51886,386.66605,802.60449
546,4.542,-813.23022,387.84033,802.45868
547,4.55,-818.54767,388.74152,802.10529
548,4.558,-827.43964,390.78403,803.53601
549,4.567,-834.20978,391.50195,803.74847
550,4.575,-839.93243,393.40137,803.43915
551,4.583,-847.12012,394.15085,803.36224
552,4.592,-852.32117,394.74066,804.07025
553,4.6,-857.97003,395.95782,803.71851
554,4.608,-866.60968,397.88284,804.55945
555,4.617,-872.78333,398.88443,805.91388
556,4.625,-879.18811,400.89743,807.57294
557,4.633,-885.7793,402.08643,808.16486
558,4.642,-891.66583,403.34616,808.97223
559,4.65,-898.17786,403.85681,810.65051
560,4.658,-904.14148,405.01016,810.79065
561,4.667,-912.85071,406.93658,812.0061
562,4.675,-919.62262,409.5011,814.19916
563,4.683,-925.60492,409.7952,814.979
