Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z
537,4.467,1412.36877,-307.87079,811.08423
538,4.475,1418.25476,-309.17227,809.60175
539,4.483,1423.88184,-309.59357,808.39069
540,4.492,1430.51575,-310.30161,807.82904
541,4.5,1436.21143,-310.23553,805.68195
542,4.508,1442.34375,-312.12802,805.25806
543,4.517,1450.26465,-313.599,805.43201
544,4.525,1457.89758,-314.4014,804.71283
545,4.533,1463.90759,-315.85779,803.61072
546,4.542,1470.50916,-317.14786,803.66577
547,4.55,1477.20374,-317.10904,803.29865
548,4.558,1484.50391,-318.31488,803.52588
549,4.567,1492.17114,-318.50916,803.11615
550,4.575,1498.60425,-319.80786,803.5296
551,4.583,1505.81384,-321.22635,804.09662
552,4.592,1513.2002,-321.6727,804.89471
553,4.6,1520.02771,-322.78186,804.97662
554,4.608,1526.98108,-323.28931,805.72955
555,4.617,1533.36389,-324.13623,806.61182
556,4.625,1541.71875,-325.97787,808.2373
557,4.633,1549.04968,-326.72879,808.6557
558,4.642,1556.50964,-327.89233,810.25934
559,4.65,1563.39636,-328.46835,810.63495
560,4.658,1572.17102,-331.05829,812.36224
561,4.667,1579.58142,-332.3334,813.87329
